airport,iata
"Værøy Heliport","VRY"
"Stafsberg Airport","HMR"
"Kautokeino Air Base","QKX"
"Gdańsk Lech Wałęsa Airport","GDN"
"Kraków John Paul II International Airport","KRK"
"Katowice International Airport","KTW"
"Poznań-Ławica Airport","POZ"
"Rzeszów-Jasionka Airport","RZE"
"Szczecin-Goleniów ""Solidarność"" Airport","SZZ"
"Redzikowo Air Base","OSP"
"Warsaw Chopin Airport","WAW"
"Copernicus Wrocław Airport","WRO"
"Zielona Góra-Babimost Airport","IEG"
"Bydgoszcz Ignacy Jan Paderewski Airport","BZG"
"Łódź Władysław Reymont Airport","LCJ"
"Oksywie Military Air Base","QYD"
"Radom Airport","RDO"
"Modlin Airport","WMI"
"Lublin Airport","LUZ"
"Olsztyn-Mazury Airport","SZY"
"Biała Podlaska Airfield","BXP"
"Alverca Air Base","AVR"
"Santa Maria Airport","SMA"
"Bragança Airport","BGC"
"Beja Airport / Airbase","BYJ"
"Braga Municipal Aerodrome","BGZ"
"Cascais Airport","CAT"
"Flores Airport","FLW"
"Faro Airport","FAO"
"Graciosa Airport","GRW"
"Horta Airport","HOR"
"Lajes Airport","TER"
"Monte Real Air Base","QLR"
"João Paulo II Airport","PDL"
"Pico Airport","PIX"
"Portimão Airport","PRM"
"Francisco de Sá Carneiro Airport","OPO"
"Porto Santo Airport","PXO"
"Humberto Delgado Airport (Lisbon Portela Airport)","LIS"
"São Jorge Airport","SJZ"
"Vila Real Airport","VRL"
"Aerodromo Goncalves Lobato (Viseu Airport)","VSE"
"Madeira Airport","FNC"
"Corvo Airport","CVU"
"Belgrade Nikola Tesla Airport","BEG"
"Nis Airport","INI"
"Priština International Airport","PRN"
"Batajnica Air Base","BJY"
"Cenej Airport","QND"
"Arad International Airport","ARW"
"Bacău Airport","BCM"
"Tautii Magheraus Airport","BAY"
"Băneasa International Airport","BBU"
"Mihail Kogălniceanu International Airport","CND"
"Cluj-Napoca International Airport","CLJ"
"Caransebeş Airport","CSB"
"Craiova Airport","CRA"
"Iaşi Airport","IAS"
"Oradea International Airport","OMR"
"Henri Coandă International Airport","OTP"
"Sibiu International Airport","SBZ"
"Satu Mare Airport","SUJ"
"Suceava Stefan cel Mare Airport","SCV"
"Tulcea Airport","TCE"
"Transilvania Târgu Mureş International Airport","TGM"
"Timişoara Traian Vuia Airport","TSR"
"Ljubljana Jože Pučnik Airport","LJU"
"Maribor Airport","MBX"
"Portoroz Airport","POW"
"Fuerteventura Airport","FUE"
"Hierro Airport","VDE"
"La Palma Airport","SPC"
"Gran Canaria Airport","LPA"
"Lanzarote Airport","ACE"
"Tenerife South Airport","TFS"
"Tenerife Norte Airport","TFN"
"Melilla Airport","MLN"
"Albacete-Los Llanos Airport","ABC"
"Alicante International Airport","ALC"
"Almería International Airport","LEI"
"Asturias Airport","OVD"
"Córdoba Airport","ODB"
"Bilbao Airport","BIO"
"Barcelona International Airport","BCN"
"Badajoz Airport","BJZ"
"A Coruña Airport","LCG"
"Girona Airport","GRO"
"Federico Garcia Lorca Airport","GRX"
"Ibiza Airport","IBZ"
"Jerez Airport","XRY"
"San Javier Airport","MJV"
"Adolfo Suárez Madrid–Barajas Airport","MAD"
"Málaga Airport","AGP"
"Menorca Airport","MAH"
"Moron Air Base","OZP"
"Pamplona Airport","PNA"
"Reus Air Base","REU"
"Rota Naval Station Airport","ROZ"
"Salamanca Airport","SLM"
"San Sebastian Airport","EAS"
"Santiago de Compostela Airport","SCQ"
"Pirineus - la Seu d'Urgel Airport","LEU"
"Torrejón Airport","TOJ"
"Valencia Airport","VLC"
"Valladolid Airport","VLL"
"Vitoria/Foronda Airport","VIT"
"Vigo Airport","VGO"
"Santander Airport","SDR"
"Zaragoza Air Base","ZAZ"
"Sevilla Airport","SVQ"
"Palma De Mallorca Airport","PMI"
"La Gomera Airport","GMZ"
"Logroño-Agoncillo Airport","RJL"
"Leon Airport","LEN"
"Burgos Airport","RGS"
